Date;Gouvernorat;Production
2006;Tatouine;600.0
2006;Medenine;3600.0
2006;Ariana;4600.0
2006;Gabès;8000.0
2006;Gafsa;12200.0
2006;Ben Arous;13100.0
2006;Bizerte;19300.0
2006;Jendouba;23600.0
2006;Kef;24000.0
2006;Manouba;33000.0
2006;Kasserine;37200.0
2006;Béja;38100.0
2006;Nabeul;39000.0
2006;Zaghouan;63300.0
2006;Monastir;67100.0
2006;Siliana;77300.0
2006;Sidi Bouzid;86200.0
2006;Sousse;120000.0
2006;Kairouan;123000.0
2006;Mahdia;124700.0
2006;Sfax;300000.0
2007;Ariana;2400.0
2007;Ben Arous;3200.0
2007;Tatouine;3500.0
2007;Jendouba;4500.0
2007;Manouba;7100.0
2007;Kef;8500.0
2007;Gabès;10000.0
2007;Béja;11500.0
2007;Kasserine;11600.0
2007;Bizerte;12000.0
2007;Siliana;14000.0
2007;Zaghouan;25000.0
2007;Gafsa;25600.0
2007;Nabeul;30000.0
2007;Medenine;34600.0
2007;Monastir;96600.0
2007;Sousse;110000.0
2007;Mahdia;119800.0
2007;Sidi Bouzid;124000.0
2007;Kairouan;134000.0
2007;Sfax;210000.0
2008;Tatouine;290.0
2008;Ariana;2600.0
2008;Kef;7000.0
2008;Jendouba;9700.0
2008;Ben Arous;13900.0
2008;Bizerte;14000.0
2008;Manouba;16000.0
2008;Gabès;17000.0
2008;Béja;22300.0
2008;Gafsa;29700.0
2008;Nabeul;30000.0
2008;Kasserine;37700.0
2008;Siliana;52000.0
2008;Zaghouan;55000.0
2008;Mahdia;59800.0
2008;Monastir;71500.0
2008;Kairouan;88000.0
2008;Sousse;105000.0
2008;Sidi Bouzid;116000.0
2008;Medenine;127500.0
2008;Sfax;308000.0
2009;Tatouine;300.0
2009;Tunis;1800.0
2009;Ariana;4900.0
2009;Kef;8500.0
2009;Gafsa;9800.0
2009;Kasserine;10800.0
2009;Ben Arous;11500.0
2009;Jendouba;11700.0
2009;Zaghouan;13900.0
2009;Gabès;14000.0
2009;Manouba;18000.0
2009;Bizerte;18000.0
2009;Siliana;20000.0
2009;Béja;26200.0
2009;Nabeul;36000.0
2009;Sidi Bouzid;51000.0
2009;Medenine;55800.0
2009;Kairouan;72400.0
2009;Sousse;85000.0
2009;Monastir;103800.0
2009;Mahdia;125500.0
2009;Sfax;190000.0
2010;Tatouine;2000.0
2010;Tunis;2350.0
2010;Ariana;3500.0
2010;Bizerte;12600.0
2010;Gabès;14000.0
2010;Ben Arous;15600.0
2010;Manouba;17500.0
2010;Jendouba;17700.0
2010;Kef;18100.0
2010;Nabeul;35000.0
2010;Medenine;37000.0
2010;Mahdia;37100.0
2010;Béja;37500.0
2010;Gafsa;38600.0
2010;Monastir;39500.0
2010;Zaghouan;42000.0
2010;Kasserine;43100.0
2010;Siliana;45100.0
